user_id,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMScore,customers_segment
3001745,5,4,0.6257547298,4,4,4,444,Lost Cheap Customers
3029765,4,1,0.1560791786,4,1,2,412,Loyal Customers
3041105,26,3,0.4680907365,2,3,3,233,Others
3042560,7,4,0.6245309862,4,4,4,444,Lost Cheap Customers
3048027,0,2,0.3115426527,4,3,3,433,Loyal Customers
3048972,2,1,0.1556246942,4,1,2,412,Loyal Customers
3055865,5,7,1.091321022,4,4,4,444,Lost Cheap Customers
3064557,48,5,0.7851668696,1,4,4,144,Recent Customers
3068326,60,2,0.311430822,1,3,3,133,Recent Customers
3117856,18,1,0.1558796233,3,1,2,312,Loyal Customers
3122030,1,8,1.2509944,4,4,4,444,Lost Cheap Customers
3125228,0,2,0.3121146238,4,3,3,433,Loyal Customers
3126053,22,2,0.3128669021,2,3,3,233,Others
3126507,3,15,2.342830955,4,4,4,444,Lost Cheap Customers
3144080,9,15,2.342550143,3,4,4,344,Loyal Customers
3164123,67,2,0.3118318957,1,3,3,133,Recent Customers
3174500,42,1,0.1556308194,2,1,2,212,Loyal Customers
3175898,54,1,0.1578075854,1,1,3,113,Recent Customers
3195807,52,1,0.155618562,1,1,2,112,Recent Customers
3215791,7,2,0.3116594081,4,3,3,433,Loyal Customers
3236986,4,20,3.114085734,4,4,4,444,Lost Cheap Customers
3254330,19,10,1.558007344,3,4,4,344,Loyal Customers
3274227,24,1,0.1563834674,2,1,3,213,Loyal Customers
3331760,60,1,0.1557479947,1,1,2,112,Recent Customers
3332022,62,1,0.1556185124,1,1,1,111,Best Customers
3332435,60,1,0.1557412585,1,1,2,112,Recent Customers
3339646,0,4,0.6259932995,4,4,4,444,Lost Cheap Customers
3352973,12,1,0.1560688094,3,1,2,312,Loyal Customers
3377911,51,4,0.6238737183,1,4,4,144,Recent Customers
3379287,10,1,0.1558617169,3,1,2,312,Loyal Customers
3408653,66,1,0.1568239942,1,1,3,113,Recent Customers
3427745,0,1,0.1556256204,4,1,2,412,Loyal Customers
3433448,13,4,0.6250287252,3,4,4,344,Loyal Customers
3513155,9,1,0.1565346434,3,1,3,313,Loyal Customers
3619407,9,9,1.400972872,3,4,4,344,Loyal Customers
3622490,3,4,0.6235308179,4,4,4,444,Lost Cheap Customers
3634936,9,1,0.1563201639,3,1,3,313,Loyal Customers
3676910,7,11,1.712946649,4,4,4,444,Lost Cheap Customers
3699522,66,1,0.1557991479,1,1,2,112,Recent Customers
3708140,2,2,0.311247888,4,3,3,433,Loyal Customers
3722371,47,1,0.1557847947,1,1,2,112,Recent Customers
3726976,4,3,0.4676587383,4,3,3,433,Loyal Customers
3732991,0,5,0.7788605913,4,4,4,444,Lost Cheap Customers
3734202,63,1,0.1557598833,1,1,2,112,Recent Customers
3737697,2,24,3.739584429,4,4,4,444,Lost Cheap Customers
3744271,44,6,0.9348449382,2,4,4,244,Loyal Customers
3753368,52,1,0.1620265611,1,1,3,113,Recent Customers
3771822,10,1,0.1557420124,3,1,2,312,Loyal Customers
3800101,63,1,0.1556889886,1,1,2,112,Recent Customers
3809915,20,1,0.1557315806,3,1,2,312,Loyal Customers
3820880,11,2,0.3114082034,3,3,3,333,Others
3822241,4,3,0.4678093128,4,3,3,433,Loyal Customers
3873245,73,1,0.1559804209,1,1,2,112,Recent Customers
3884633,6,6,0.9409032284,4,4,4,444,Lost Cheap Customers
3892591,42,1,0.1556766973,2,1,2,212,Loyal Customers
3918436,25,2,0.31162823,2,3,3,233,Others
3944536,43,1,0.1556185124,2,1,1,211,Loyal Customers
3960676,0,2,0.3116060033,4,3,3,433,Loyal Customers
3968952,16,3,0.4692502785,3,3,4,334,Others
3974843,0,2,0.3114454715,4,3,3,433,Loyal Customers
3983517,21,1,0.1558172473,3,1,2,312,Loyal Customers
4028431,41,2,0.3114598703,2,3,3,233,Others
4030516,16,4,0.6248158074,3,4,4,344,Loyal Customers
4080428,51,12,1.868340806,1,4,4,144,Recent Customers
4080995,7,9,1.40276657,4,4,4,444,Lost Cheap Customers
4082273,11,9,1.406635363,3,4,4,344,Loyal Customers
4105625,7,2,0.3115638964,4,3,3,433,Loyal Customers
4138880,16,18,2.811702283,3,4,4,344,Loyal Customers
4171625,66,1,0.1563067857,1,1,3,113,Recent Customers
4272755,30,9,1.409035697,2,4,4,244,Loyal Customers
4277303,40,1,0.1558602498,2,1,2,212,Loyal Customers
4292682,71,2,0.3116588183,1,3,3,133,Recent Customers
4370892,74,1,0.1558265557,1,1,2,112,Recent Customers
4398785,3,5,0.7784865892,4,4,4,444,Lost Cheap Customers
4406375,3,4,0.6232717397,4,4,4,444,Lost Cheap Customers
4411726,3,11,1.725422162,4,4,4,444,Lost Cheap Customers
4412213,70,1,0.15561904,1,1,2,112,Recent Customers
4512875,18,3,0.4676381914,3,3,3,333,Others
4557151,35,3,0.4671827991,2,3,3,233,Others
4558190,58,1,0.155643412,1,1,2,112,Recent Customers
4603767,3,2,0.3133218412,4,3,3,433,Loyal Customers
4622213,20,3,0.4672341229,3,3,3,333,Others
4626807,49,2,0.3118036088,1,3,3,133,Recent Customers
4626923,7,1,0.1556286524,4,1,2,412,Loyal Customers
4663482,2,7,1.090534212,4,4,4,444,Lost Cheap Customers
4688330,34,1,0.1559665376,2,1,2,212,Loyal Customers
4697911,9,4,0.6243331316,3,4,4,344,Loyal Customers
4703753,2,4,0.6230629481,4,4,4,444,Lost Cheap Customers
4724435,25,1,0.1556829188,2,1,2,212,Loyal Customers
4741201,1,5,0.7858712145,4,4,4,444,Lost Cheap Customers
4745551,3,4,0.6238158358,4,4,4,444,Lost Cheap Customers
4767923,31,2,0.3112370249,2,3,3,233,Others
4806192,12,4,0.6227909983,3,4,4,344,Loyal Customers
4806938,62,1,0.1566331914,1,1,3,113,Recent Customers
4888790,21,1,0.1557318491,3,1,2,312,Loyal Customers
4950095,1,3,0.467084672,4,3,3,433,Loyal Customers
4972051,0,13,2.039857048,4,4,4,444,Lost Cheap Customers
5012273,45,1,0.1556185124,2,1,1,211,Loyal Customers
5016323,3,10,1.606443547,4,4,4,444,Lost Cheap Customers
5055788,71,1,0.1570959737,1,1,3,113,Recent Customers
5109533,19,1,0.1556185124,3,1,1,311,Almost Lost
5165821,0,24,3.743778967,4,4,4,444,Lost Cheap Customers
5259383,61,1,0.1559305676,1,1,2,112,Recent Customers
5272430,16,2,0.3217877472,3,3,3,333,Others
5282708,1,7,1.099261656,4,4,4,444,Lost Cheap Customers
5328935,43,1,0.1558471454,2,1,2,212,Loyal Customers
5335010,50,1,0.1556185124,1,1,1,111,Best Customers
5356317,8,3,0.4689671037,3,3,4,334,Others
5363127,5,1,0.1556355633,4,1,2,412,Loyal Customers
5378832,14,2,0.3114091558,3,3,3,333,Others
5395561,1,7,1.09431819,4,4,4,444,Lost Cheap Customers
5407913,32,6,0.9372132961,2,4,4,244,Loyal Customers
5443441,31,1,0.1558104966,2,1,2,212,Loyal Customers
5450937,3,17,2.648118246,4,4,4,444,Lost Cheap Customers
5465708,2,5,0.7805976411,4,4,4,444,Lost Cheap Customers
5486615,62,1,0.1556185124,1,1,1,111,Best Customers
5565815,1,2,0.3122281489,4,3,3,433,Loyal Customers
5581527,1,2,0.3118577157,4,3,3,433,Loyal Customers
5603656,15,2,0.3117877385,3,3,3,333,Others
5649875,13,1,0.1556547338,3,1,2,312,Loyal Customers
5650347,16,3,0.4696833186,3,3,4,334,Others
5667098,7,1,0.1558571743,4,1,2,412,Loyal Customers
5722688,61,2,0.3144698567,1,3,3,133,Recent Customers
5729547,29,2,0.311702373,2,3,3,233,Others
5773032,45,2,0.3130030784,2,3,3,233,Others
5808710,1,2,0.3116028377,4,3,3,433,Loyal Customers
5863426,8,2,0.3128823769,3,3,3,333,Others
5906986,4,8,1.24691911,4,4,4,444,Lost Cheap Customers
5930206,33,1,0.1556409144,2,1,2,212,Loyal Customers
5946676,15,1,0.1557210355,3,1,2,312,Loyal Customers
5950055,54,1,0.1559570497,1,1,2,112,Recent Customers
6035615,3,2,0.3114222643,4,3,3,433,Loyal Customers
6057567,17,1,0.1556185124,3,1,1,311,Almost Lost
6128956,22,2,0.3117012048,2,3,3,233,Others
6170022,31,1,0.155846596,2,1,2,212,Loyal Customers
6191041,48,1,0.1557186456,1,1,2,112,Recent Customers
6262073,40,2,0.3114433055,2,3,3,233,Others
6269390,36,1,0.1557039074,2,1,2,212,Loyal Customers
6339331,2,2,0.31193671,4,3,3,433,Loyal Customers
6347356,13,3,0.4680297687,3,3,3,333,Others
6355163,1,11,1.722232439,4,4,4,444,Lost Cheap Customers
6396605,41,2,0.3115653938,2,3,3,233,Others
6406947,12,5,0.7803205504,3,4,4,344,Loyal Customers
6416536,27,4,0.6302419204,2,4,4,244,Loyal Customers
6436445,27,4,0.6234778039,2,4,4,244,Loyal Customers
